N° Factura,Archivo Fuente,Concepto,Dato Medida (Paréntesis),Gasto Real (CLP)
26923948,Dic 2022 - VOGT.json,Electricidad Consumida,39600kWh,2.489.541
26923948,Dic 2022 - VOGT.json,Cargo por Servicio Público,,39.483
26923948,Dic 2022 - VOGT.json,Transporte de electricidad,,491.198
26923948,Dic 2022 - VOGT.json,Arriendo Medidor,,29.390
26923948,Dic 2022 - VOGT.json,Dem. Horas punta,"88,500kW",466.979
26923948,Dic 2022 - VOGT.json,Dem Max.,"183,000kW",241.760
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.465.732,,
26923948,Dic 2022 - VOGT.json,Total I.V.A.,19%,706.712
26923948,Dic 2022 - VOGT.json,Monto Exento,,39.483
26923948,Dic 2022 - VOGT.json,Monto Total,,4.465.732
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: N° 11T del 24/08/2017,,
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26923948,Dic 2022 - VOGT.json,Total a Pagar,,4.465.732
26923948,Dic 2022 - VOGT.json,Suma Gasto Real (Calculada),,4.465.732
26923948,Dic 2022 - VOGT.json,Dato Real (Extraído de JSON),,4.465.732
26923948,Dic 2022 - VOGT.json,Diferencia Suma vs Real,,0
29530021,Dic 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   259,529          297,812  ",,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2025,,
29530021,Dic 2023 - VOGT.json,Electricidad Consumida,38283kWh,101.833
29530021,Dic 2023 - VOGT.json,Dem.Horas Punta PDx,"97,500kW",25.760
29530021,Dic 2023 - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29530021,Dic 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
29530021,Dic 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 143,0        0,0        1338543-2",,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: INDUSTRIA MECANICA VOGT S A,,
29530021,Dic 2023 - VOGT.json,Total I.V.A.,19%,86.368
29530021,Dic 2023 - VOGT.json,Monto Total,,540.939
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %                                                           ,,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: DOCUMENTO ACOGIDO,,
29530021,Dic 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: A ENVÍO ELECTRÓNICO,,
29530021,Dic 2023 - VOGT.json,Total a Pagar,,540.939
29530021,Dic 2023 - VOGT.json,Suma Gasto Real (Calculada),,540.939
29530021,Dic 2023 - VOGT.json,Dato Real (Extraído de JSON),,540.939
29530021,Dic 2023 - VOGT.json,Diferencia Suma vs Real,,0
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2025,,
29736660,Enel_Ene2024.VOGT - VOGT.json,Dem.Horas Punta PDx,"97,500kW",25.760
29736660,Enel_Ene2024.VOGT - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29736660,Enel_Ene2024.VOGT - VOGT.json,Multa por consumo reactivo,,4.539
29736660,Enel_Ene2024.VOGT - VOGT.json,Cargo Fijo Mensual PDx,,669
29736660,Enel_Ene2024.VOGT - VOGT.json,Intereses de Mora,,5.147
29736660,Enel_Ene2024.VOGT - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 143,0        0,0        1338543-2",,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: INDUSTRIA MECANICA VOGT S A,,
29736660,Enel_Ene2024.VOGT - VOGT.json,Total I.V.A.,19%,96.152
29736660,Enel_Ene2024.VOGT - VOGT.json,Monto Total,,602.216
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %                                                           ,,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %                                                           ,,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: DOCUMENTO ACOGIDO,,
29736660,Enel_Ene2024.VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: A ENVÍO ELECTRÓNICO,,
29736660,Enel_Ene2024.VOGT - VOGT.json,Total a Pagar,,602.216
29736660,Enel_Ene2024.VOGT - VOGT.json,🔴 ALERTA: Sin dato de Electricidad Consumida (kWh=0),,0
29736660,Enel_Ene2024.VOGT - VOGT.json,Suma Gasto Real (Calculada),,458.576
29736660,Enel_Ene2024.VOGT - VOGT.json,Dato Real (Extraído de JSON),,602.216
29736660,Enel_Ene2024.VOGT - VOGT.json,Diferencia Suma vs Real,,-143.640
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2025,,
29938502,Enel_Feb2024_VOGT - VOGT.json,Dem.Horas Punta PDx,"97,500kW",25.760
29938502,Enel_Feb2024_VOGT - VOGT.json,Demanda Max. Sumi. PDx,"247,000kW",326.309
29938502,Enel_Feb2024_VOGT - VOGT.json,Cargo Fijo Mensual PDx,,669
29938502,Enel_Feb2024_VOGT - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 143,0        0,0        1338543-2",,
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: INDUSTRIA MECANICA VOGT S A,,
29938502,Enel_Feb2024_VOGT - VOGT.json,Total I.V.A.,19%,94.312
29938502,Enel_Feb2024_VOGT - VOGT.json,Monto Total,,590.690
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %                                                           ,,
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: DOCUMENTO ACOGIDO,,
29938502,Enel_Feb2024_VOGT - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: A ENVÍO ELECTRÓNICO,,
29938502,Enel_Feb2024_VOGT - VOGT.json,Total a Pagar,,590.690
29938502,Enel_Feb2024_VOGT - VOGT.json,🔴 ALERTA: Sin dato de Electricidad Consumida (kWh=0),,0
29938502,Enel_Feb2024_VOGT - VOGT.json,Suma Gasto Real (Calculada),,447.050
29938502,Enel_Feb2024_VOGT - VOGT.json,Dato Real (Extraído de JSON),,590.690
29938502,Enel_Feb2024_VOGT - VOGT.json,Diferencia Suma vs Real,,-143.640
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Detalle del consumo de medidores                            ,,
27109613,Enero 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475  Compañía   300,00             81842,000         ",,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Fecha límite de modificación de su contrato de tarifa,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Especificaciones de consumo  Antecedentes generales  Escanea,,
27109613,Enero 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: ¡pi  300,000  e ingresa tus datos  MT",,
27109613,Enero 2023 - VOGT.json,Administración del servicio,,669
27109613,Enero 2023 - VOGT.json,Electricidad Consumida,40200kWh,2.527.262
27109613,Enero 2023 - VOGT.json,Cargo por Servicio Público,,142.308
27109613,Enero 2023 - VOGT.json,Transporte de electricidad,,501.858
27109613,Enero 2023 - VOGT.json,Arriendo Medidor,,29.618
27109613,Enero 2023 - VOGT.json,Dem. Horas punta,"88,500kW",466.979
27109613,Enero 2023 - VOGT.json,Dem Max.,"183,000kW",241.760
27109613,Enero 2023 - VOGT.json,Intereses de Mora,,20.795
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Consumo total kWh,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 40200  Ruta,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Información al cliente  106-0119-0981,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Total a pagar  >,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.651.148,,
27109613,Enero 2023 - VOGT.json,Total Monto Neto,,3.788.941
27109613,Enero 2023 - VOGT.json,Total I.V.A.,19%,719.899
27109613,Enero 2023 - VOGT.json,Monto Exento,,142.308
27109613,Enero 2023 - VOGT.json,Monto Total,,4.651.148
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Páguese hasta el  25/01/2023  Total a pagar  4.651.148,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: NUESTROS CANALES  |  de Caja  l,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: DE ATENCIÓN,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: N° 11T del 24/08/2017  Whatsapp  4  Oficina Móvil  O  Y,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 9  +569 9444 7606  Red de oficinas  PAN,,
27109613,Enero 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl  1111338543000000465114802000,,
27109613,Enero 2023 - VOGT.json,Total a Pagar,,4.651.148
27109613,Enero 2023 - VOGT.json,Suma Gasto Real (Calculada),,4.651.148
27109613,Enero 2023 - VOGT.json,Dato Real (Extraído de JSON),,4.651.148
27109613,Enero 2023 - VOGT.json,Diferencia Suma vs Real,,0
25269313,Feb 2022 - VOGT.json,Administración del servicio,,669
25269313,Feb 2022 - VOGT.json,Arriendo Medidor,,26.353
25269313,Feb 2022 - VOGT.json,Dem. Horas punta,"22,500kW",114.716
25269313,Feb 2022 - VOGT.json,Dem Max.,"57,000kW",75.302
25269313,Feb 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
25269313,Feb 2022 - VOGT.json,Total Monto Neto,,644.548
25269313,Feb 2022 - VOGT.json,Total I.V.A.,19%,122.464
25269313,Feb 2022 - VOGT.json,Monto Exento,,3.048
25269313,Feb 2022 - VOGT.json,Monto Total,,770.060
25269313,Feb 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
25269313,Feb 2022 - VOGT.json,Total a Pagar,,770.060
25269313,Feb 2022 - VOGT.json,🔴 ALERTA: Sin dato de Electricidad Consumida (kWh=0),,0
25269313,Feb 2022 - VOGT.json,Suma Gasto Real (Calculada),,339.504
25269313,Feb 2022 - VOGT.json,Dato Real (Extraído de JSON),,770.060
25269313,Feb 2022 - VOGT.json,Diferencia Suma vs Real,,-430.556
26047947,Jul 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   80991,000         81127,000",,
26047947,Jul 2022 - VOGT.json,Administración del servicio,,669
26047947,Jul 2022 - VOGT.json,Electricidad Consumida,40800kWh,2.564.981
26047947,Jul 2022 - VOGT.json,Cargo por Servicio Público,,20.727
26047947,Jul 2022 - VOGT.json,Transporte de electricidad,,448.905
26047947,Jul 2022 - VOGT.json,Arriendo Medidor,,27.713
26047947,Jul 2022 - VOGT.json,Dem. Horas punta,"72,000kW",379.915
26047947,Jul 2022 - VOGT.json,Dem Max.,"145,500kW",192.219
26047947,Jul 2022 - VOGT.json,Multa por consumo reactivo,,356.200
26047947,Jul 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26047947,Jul 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.745.743,,
26047947,Jul 2022 - VOGT.json,Total I.V.A.,19%,754.414
26047947,Jul 2022 - VOGT.json,Monto Exento,,20.727
26047947,Jul 2022 - VOGT.json,Monto Total,,4.745.743
26047947,Jul 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26047947,Jul 2022 - VOGT.json,Total a Pagar,,4.745.743
26047947,Jul 2022 - VOGT.json,Suma Gasto Real (Calculada),,4.745.743
26047947,Jul 2022 - VOGT.json,Dato Real (Extraído de JSON),,4.745.743
26047947,Jul 2022 - VOGT.json,Diferencia Suma vs Real,,0
28917299,Julio-Ago 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   0,000    135,805        13",,
28917299,Julio-Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2024,,
28917299,Julio-Ago 2023 - VOGT.json,Electricidad Consumida,135805kWh,361.241
28917299,Julio-Ago 2023 - VOGT.json,Dem.Horas Punta PDx,"102,000kW",37.212
28917299,Julio-Ago 2023 - VOGT.json,Demanda Max. Sumi. PDx,"259,000kW",472.465
28917299,Julio-Ago 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
28917299,Julio-Ago 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 335,0        102,0        1338543-2",,
28917299,Julio-Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
28917299,Julio-Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 3.318.423,,
28917299,Julio-Ago 2023 - VOGT.json,Total Monto Neto,,871.587
28917299,Julio-Ago 2023 - VOGT.json,Total I.V.A.,19%,165.602
28917299,Julio-Ago 2023 - VOGT.json,Monto Total,,1.037.189
28917299,Julio-Ago 2023 - VOGT.json,Saldo anterior,,2.281.234
28917299,Julio-Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((I:RF<(((ç,,
28917299,Julio-Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
28917299,Julio-Ago 2023 - VOGT.json,Total a Pagar,,3.318.423
28917299,Julio-Ago 2023 - VOGT.json,Suma Gasto Real (Calculada),,1.037.189
28917299,Julio-Ago 2023 - VOGT.json,Dato Real (Extraído de JSON),,1.037.189
28917299,Julio-Ago 2023 - VOGT.json,Diferencia Suma vs Real,,0
25883333,Jun 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   80880,000         80991,000",,
25883333,Jun 2022 - VOGT.json,Administración del servicio,,669
25883333,Jun 2022 - VOGT.json,Electricidad Consumida,33300kWh,2.026.149
25883333,Jun 2022 - VOGT.json,Cargo por Servicio Público,,16.917
25883333,Jun 2022 - VOGT.json,Transporte de electricidad,,357.742
25883333,Jun 2022 - VOGT.json,Arriendo Medidor,,27.233
25883333,Jun 2022 - VOGT.json,Dem. Horas punta,"69,000kW",353.658
25883333,Jun 2022 - VOGT.json,Dem Max.,"124,500kW",164.476
25883333,Jun 2022 - VOGT.json,Multa por consumo reactivo,,271.732
25883333,Jun 2022 - VOGT.json,Saldo Anterior,,7.264.232
25883333,Jun 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
25883333,Jun 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 12.466.433,,
25883333,Jun 2022 - VOGT.json,Total I.V.A.,19%,608.315
25883333,Jun 2022 - VOGT.json,Monto Exento,,16.917
25883333,Jun 2022 - VOGT.json,Monto Total,,3.826.891
25883333,Jun 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
25883333,Jun 2022 - VOGT.json,Total a Pagar,,8.639.542
25883333,Jun 2022 - VOGT.json,Suma Gasto Real (Calculada),,3.826.891
25883333,Jun 2022 - VOGT.json,Dato Real (Extraído de JSON),,3.826.891
25883333,Jun 2022 - VOGT.json,Diferencia Suma vs Real,,0
28907715,Jun-Jul 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   82705,000         82743,000",,
28907715,Jun-Jul 2023 - VOGT.json,Electricidad Consumida,,874.552
28907715,Jun-Jul 2023 - VOGT.json,Cargo por Servicio Público,,5.321
28907715,Jun-Jul 2023 - VOGT.json,Transporte de electricidad,,125.704
28907715,Jun-Jul 2023 - VOGT.json,Cargo Fondo de Estabilización Ley,,21.472
28907715,Jun-Jul 2023 - VOGT.json,Arriendo Medidor,,15.157
28907715,Jun-Jul 2023 - VOGT.json,Dem. Horas punta,,410.212
28907715,Jun-Jul 2023 - VOGT.json,Dem Max.,,241.760
28907715,Jun-Jul 2023 - VOGT.json,Crg.Ley Estabilización Precios,,9.658
28907715,Jun-Jul 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Cargo por servicio pu#blico                       2.671     ,,
28907715,Jun-Jul 2023 - VOGT.json,Cargo Fijo Mensual,,669
28907715,Jun-Jul 2023 - VOGT.json,Cg.Dm.Mx.Pot.Hrs.Pta.PDx FC,,101.672
28907715,Jun-Jul 2023 - VOGT.json,Cg.Dem.Max.Pot.Sum.PDx Fuera C,,114.338
28907715,Jun-Jul 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
28907715,Jun-Jul 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 2.281.234,,
28907715,Jun-Jul 2023 - VOGT.json,Total I.V.A.,19%,357.972
28907715,Jun-Jul 2023 - VOGT.json,Monto Exento,,39.198
28907715,Jun-Jul 2023 - VOGT.json,Monto Total,,2.281.234
28907715,Jun-Jul 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((>y?P<(((ç,,
28907715,Jun-Jul 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
28907715,Jun-Jul 2023 - VOGT.json,Total a Pagar,,2.281.234
28907715,Jun-Jul 2023 - VOGT.json,Suma Gasto Real (Calculada),,2.278.487
28907715,Jun-Jul 2023 - VOGT.json,Dato Real (Extraído de JSON),,2.281.234
28907715,Jun-Jul 2023 - VOGT.json,Diferencia Suma vs Real,,-2.747
25835274,Mayo 2 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   80787,000         80880,000",,
25835274,Mayo 2 2022 - VOGT.json,Administración del servicio,,669
25835274,Mayo 2 2022 - VOGT.json,Electricidad Consumida,27900kWh,1.697.584
25835274,Mayo 2 2022 - VOGT.json,Cargo por Servicio Público,,14.173
25835274,Mayo 2 2022 - VOGT.json,Transporte de electricidad,,299.730
25835274,Mayo 2 2022 - VOGT.json,Arriendo Medidor,,27.013
25835274,Mayo 2 2022 - VOGT.json,Dem. Horas punta,"48,000kW",246.023
25835274,Mayo 2 2022 - VOGT.json,Dem Max.,"111,000kW",146.641
25835274,Mayo 2 2022 - VOGT.json,Multa por consumo reactivo,,227.976
25835274,Mayo 2 2022 - VOGT.json,Saldo Anterior,,4.604.423
25835274,Mayo 2 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
25835274,Mayo 2 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 8.639.542,,
25835274,Mayo 2 2022 - VOGT.json,Total I.V.A.,19%,502.671
25835274,Mayo 2 2022 - VOGT.json,Monto Exento,,14.173
25835274,Mayo 2 2022 - VOGT.json,Monto Total,,3.162.480
25835274,Mayo 2 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
25835274,Mayo 2 2022 - VOGT.json,Total a Pagar,,5.477.062
25835274,Mayo 2 2022 - VOGT.json,Suma Gasto Real (Calculada),,3.162.480
25835274,Mayo 2 2022 - VOGT.json,Dato Real (Extraído de JSON),,3.162.480
25835274,Mayo 2 2022 - VOGT.json,Diferencia Suma vs Real,,0
25832880,Mayo 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   80711,000         80711,000",,
25832880,Mayo 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475R   Compañía   300,00   26819,000         26819,00",,
25832880,Mayo 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 300,00   26819,000         26878,000  17700",,
25832880,Mayo 2022 - VOGT.json,Administración del servicio,,669
25832880,Mayo 2022 - VOGT.json,Electricidad Consumida,22800kWh,1.387.273
25832880,Mayo 2022 - VOGT.json,Cargo por Servicio Público,,11.583
25832880,Mayo 2022 - VOGT.json,Transporte de electricidad,,244.940
25832880,Mayo 2022 - VOGT.json,Arriendo Medidor,,26.759
25832880,Mayo 2022 - VOGT.json,Dem. Horas punta,"22,500kW",116.284
